GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
URN:CornellLabOfOrnithology:EBIRD:OBS1198903694,2022-10-22 00:21:29.236059,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,"Sithulpawwa Road, Sri Lanka",L15726232,P,6.28932,81.390609,2021-07-11,15:50:00,obsr1091489,S91592856,Traveling,P22,EBIRD,130.0,26.0,,2.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1198169025,2023-10-23 19:19:43.041014,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,11,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-07-10,15:25:00,obsr1091489,S91526666,Traveling,P22,EBIRD,110.0,4.0,,2.0,1,,1,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1193373656,2023-10-23 19:19:38.505333,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,2,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-07-02,06:15:00,obsr1091489,S91100730,Traveling,P22,EBIRD,65.0,2.0,,2.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1224385906,2023-10-22 02:54:53.329658,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-08-26,06:30:00,obsr1091489,S93738991,Stationary,P21,EBIRD,50.0,,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1225496505,2023-10-22 02:54:55.035357,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-08-28,06:10:00,obsr1091489,S93820772,Stationary,P21,EBIRD,85.0,,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1226194401,2023-10-22 02:54:55.166327,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-08-29,06:10:00,obsr1091489,S93873125,Stationary,P21,EBIRD,56.0,,,1.0,1,,0,1,0,,Cloudy wet morning,,
URN:CornellLabOfOrnithology:EBIRD:OBS1220878709,2023-10-22 02:54:50.02319,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-08-20,06:00:00,obsr1091489,S93474507,Stationary,P21,EBIRD,65.0,,,1.0,1,,1,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1210753980,2022-10-22 00:26:51.950255,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-08-02,06:35:00,obsr1091489,S92642266,Stationary,P21,EBIRD,40.0,,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1215250469,2022-10-22 00:28:43.248395,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-08-10,06:30:00,obsr1091489,S93025297,Stationary,P21,EBIRD,75.0,,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1222046796,2023-10-22 02:54:51.160829,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-08-22,06:15:00,obsr1091489,S93565058,Stationary,P21,EBIRD,80.0,,,1.0,1,,0,1,0,,Cloudy day,,
URN:CornellLabOfOrnithology:EBIRD:OBS1220382010,2023-10-22 02:54:49.026679,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-08-19,06:45:00,obsr1091489,S93435448,Stationary,P21,EBIRD,55.0,,,1.0,1,,0,1,0,,,,
