GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
URN:CornellLabOfOrnithology:EBIRD:OBS1564638661,2023-10-23 19:27:54.795561,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,2,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Kalamatiya Road, Kalametiya, Southern Province, LK (6.099, 80.955)",L18402546,P,6.0985829,80.9547514,2022-11-18,14:06:00,obsr1351039,S122629565,Stationary,P21,EBIRD,16.0,,,2.0,1,G9192409,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1567106604,2023-10-23 19:28:00.024396,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,7,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalamatiya Sanctuary,L21566523,P,6.089234,80.9489068,2022-11-18,16:43:00,obsr1351039,S122822450,Traveling,P22,EBIRD,58.0,3.0,,2.0,1,G9192411,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1569482679,2023-10-23 19:28:03.821915,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2022-11-26,06:15:00,obsr2018658,S123022072,Traveling,P22,EBIRD,296.0,7.84,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1567106714,2023-10-23 19:28:00.146515,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,9,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sanctuary- Lunama Lagoon,L17638956,P,6.0957235,80.9555139,2022-11-19,16:15:00,obsr1351039,S122822465,Stationary,P21,EBIRD,71.0,,,5.0,1,G9199364,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1568837268,2023-10-23 19:28:02.806532,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,9,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sanctuary- Lunama Lagoon,L17638956,P,6.0957235,80.9555139,2022-11-19,16:15:00,obsr1719639,S122966926,Stationary,P21,EBIRD,71.0,,,5.0,1,G9199364,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1564364467,2023-10-23 19:27:54.245884,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,2,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Kalamatiya Road, Kalametiya, Southern Province, LK (6.099, 80.955)",L18402546,P,6.0985829,80.9547514,2022-11-18,14:06:00,obsr1001147,S122607034,Stationary,P21,EBIRD,16.0,,,2.0,1,G9192409,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1566626145,2023-10-23 19:27:59.265414,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,9,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sanctuary- Lunama Lagoon,L17638956,P,6.0957235,80.9555139,2022-11-19,16:15:00,obsr225465,S122784079,Stationary,P21,EBIRD,71.0,,,5.0,1,G9199364,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1564638860,2023-10-23 19:27:55.038639,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sanctuary- Lunama Lagoon,L17638956,P,6.0957235,80.9555139,2022-11-18,16:11:00,obsr1351039,S122629577,Stationary,P21,EBIRD,27.0,,,2.0,1,G9192412,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1564638712,2023-10-23 19:27:54.920507,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,12,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalamatiya Sanctuary,L21566523,P,6.089234,80.9489068,2022-11-18,14:39:00,obsr1351039,S122629571,Traveling,P22,EBIRD,91.0,4.5,,2.0,1,G9192410,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1565800418,2023-10-23 19:27:57.411589,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,9,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sanctuary- Lunama Lagoon,L17638956,P,6.0957235,80.9555139,2022-11-19,16:15:00,obsr1346514,S122719338,Stationary,P21,EBIRD,71.0,,,5.0,1,G9199364,0,1,0,,,,
