GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1564364449	2023-10-23 19:27:54.245884	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				4					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalamatiya Road, Kalametiya, Southern Province, LK (6.099, 80.955)	L18402546	P	6.0985829	80.9547514	2022-11-18	14:06:00	obsr1001147	S122607034	Stationary	P21	EBIRD	16			2	1	G9192409	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1571647330	2023-03-22 03:16:16.871336	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				X					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-11-29	06:42:00	obsr823365	S123194420	Traveling	P22	EBIRD	143	4.540		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1567106683	2023-10-23 19:28:00.146515	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				10					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Sanctuary- Lunama Lagoon	L17638956	P	6.0957235	80.9555139	2022-11-19	16:15:00	obsr1351039	S122822465	Stationary	P21	EBIRD	71			5	1	G9199364	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1566620864	2023-10-23 19:27:59.265414	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				10					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Sanctuary- Lunama Lagoon	L17638956	P	6.0957235	80.9555139	2022-11-19	16:15:00	obsr225465	S122784079	Stationary	P21	EBIRD	71			5	1	G9199364	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1569482705	2023-10-23 19:28:03.821915	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				X					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-11-26	06:15:00	obsr2018658	S123022072	Traveling	P22	EBIRD	296	7.840		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1564638643	2023-10-23 19:27:54.795561	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				4					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalamatiya Road, Kalametiya, Southern Province, LK (6.099, 80.955)	L18402546	P	6.0985829	80.9547514	2022-11-18	14:06:00	obsr1351039	S122629565	Stationary	P21	EBIRD	16			2	1	G9192409	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1582827568	2023-10-23 19:28:26.283807	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				X					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-12-17	06:08:00	obsr2018658	S124080385	Traveling	P22	EBIRD	349	10.800		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1605685585	2024-08-25 13:25:32.708846	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				X					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2023-01-14	06:04:00	obsr2018658	S126090173	Traveling	P22	EBIRD	322	8.840		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1595388707	2023-02-03 09:50:06.170451	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				7					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Ridiyagama,Unnamed Road, Southern Province, LK (6.252, 80.979)	L22020986	P	6.2522733	80.9789283	2023-01-02	16:00:00	obsr1108110	S125160539	Traveling	P22	EBIRD	123	3.960		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1616254234	2023-10-23 19:29:28.875171	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				X					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2023-01-27	11:29:00	obsr2300789	S127021765	Traveling	P22	EBIRD	87	6.760		3	1		0	1	0				
