GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1334063894	2023-10-22 02:59:02.012114	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Beliatta	LK-33-003					Isuru Villa - Beliaththa	L17638131	P	6.0424899	80.7549121	2022-02-04	13:04:00	obsr580318	S101993628	Stationary	P21	EBIRD	40			5	1	G7821285	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334035804	2023-10-22 02:59:00.514813	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Beliatta	LK-33-003					Isuru Villa - Beliaththa	L17638131	P	6.0424899	80.7549121	2022-02-04	13:04:00	obsr225081	S101991211	Stationary	P21	EBIRD	40			5	1	G7821285	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1463185260	2023-10-22 03:02:48.480025	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				2					Sri Lanka	LK	Hambantota	LK-33	Beliatta	LK-33-003					Beliatta - Walasmulla Road, Southern Province, LK (6.066, 80.732)	L19735426	P	6.0662689	80.7316635	2022-06-20	12:33:00	obsr225081	S113332627	Stationary	P21	EBIRD	12			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1330981207	2023-10-22 02:58:45.455352	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				2					Sri Lanka	LK	Hambantota	LK-33	Hambantota	LK-33-004	BIRDLIFE_15327				Bundala NP (General)	L1078558	H	6.1885980	81.2200356	2022-01-25	14:30:00	obsr729503	S101764768	Traveling	P22	EBIRD	180	15.000		3	0	G7811887	0	1	0		This is a list of most of our bird sighting on an OSC field visit to Bundala. My battery stopped half way through so the path is incomplete. I am updating waders that we saw based on my photographs.		
URN:CornellLabOfOrnithology:EBIRD:OBS1327497242	2024-08-25 13:25:32.708846	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				3					Sri Lanka	LK	Hambantota	LK-33	Hambantota	LK-33-004	BIRDLIFE_15327				Bundala NP (General)	L1078558	H	6.1885980	81.2200356	2022-01-26	19:06:00	obsr2920179	S101471129	Stationary	P21	EBIRD	240			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1331206082	2023-10-23 19:23:23.64462	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				11					Sri Lanka	LK	Hambantota	LK-33	Hambantota	LK-33-004	BIRDLIFE_15327				Bundala NP (General)	L1078558	H	6.1885980	81.2200356	2022-01-29	08:00:00	obsr1091489	S101778818	Traveling	P22	EBIRD	150	6.000		2	1		0	1	0		outside the Park		
URN:CornellLabOfOrnithology:EBIRD:OBS1343013802	2024-08-25 13:25:32.708846	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				4					Sri Lanka	LK	Hambantota	LK-33	Hambantota	LK-33-004	BIRDLIFE_15327				Bundala NP (General)	L1078558	H	6.1885980	81.2200356	2022-01-24	06:49:00	obsr3953	S102715642	Traveling	P22	EBIRD	277	25.733		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1327381898	2024-08-25 13:25:32.708846	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				3					Sri Lanka	LK	Hambantota	LK-33	Hambantota	LK-33-004	BIRDLIFE_15327				Bundala NP (General)	L1078558	H	6.1885980	81.2200356	2022-01-26	08:04:00	obsr2920179	S101462134	Traveling	P22	EBIRD	164	7.241		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1327387003	2024-08-25 13:25:32.708846	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				2					Sri Lanka	LK	Hambantota	LK-33	Hambantota	LK-33-004	BIRDLIFE_15327				Bundala NP (General)	L1078558	H	6.1885980	81.2200356	2022-01-26	08:42:00	obsr736325	S101462388	Traveling	P22	EBIRD	138	1.450		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1337244695	2024-08-25 13:25:32.708846	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Hambantota	LK-33-004	BIRDLIFE_15327				Bundala NP (General)	L1078558	H	6.1885980	81.2200356	2022-01-23	06:20:00	obsr2147752	S102259654	Traveling	P22	EBIRD	266	23.088		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1352467846	2022-10-22 00:27:27.950734	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				5					Sri Lanka	LK	Hambantota	LK-33	Hambantota	LK-33-004	BIRDLIFE_15327				Bundala NP (General)	L1078558	H	6.1885980	81.2200356	2022-01-22	06:51:00	obsr1858191	S103726435	Traveling	P22	EBIRD	291	29.120		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1328062030	2023-10-23 19:23:18.535245	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				5					Sri Lanka	LK	Hambantota	LK-33	Hambantota	LK-33-004	BIRDLIFE_15327				Bundala National Park	L16916457	P	6.1833817	81.2451875	2022-01-26	13:47:00	obsr736325	S101519453	Traveling	P22	EBIRD	128	7.360		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1332445938	2023-10-22 02:58:53.104949	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				2					Sri Lanka	LK	Hambantota	LK-33	Hambantota	LK-33-004	BIRDLIFE_15327				Bundala NP (General)	L1078558	H	6.1885980	81.2200356	2022-01-25	14:30:00	obsr1656313	S101872638	Traveling	P22	EBIRD	180	15.000		3	0	G7811887	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1335534969	2023-10-23 19:23:37.062591	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Hambantota	LK-33-004	BIRDLIFE_15327				Bundala Village and Surrounding Area	L17158240	P	6.1938448	81.2576837	2022-02-06	12:08:00	obsr1001147	S102114151	Traveling	P22	EBIRD	78	2.870		5	1	G7830620	0	1	0				
